หมวดหมู่หลัก (TH),หมวดหมู่หลัก (CN),หมวดหมู่ย่อย (TH),หมวดหมู่ย่อย (CN),กลุ่มสินค้า (TH),ชื่อสินค้า (TH),ชื่อสินค้า (CN),SKU,Slug (รหัสสินค้า),โฟลเดอร์ที่ต้องวางรูป
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,ลวดเชื่อม/ลวดผูก/ลวดเหล็ก,焊条/扎丝/铁丝,ลวดเชื่อมไฟฟ้า,ลวดเชื่อม 70s-6 1.0,金桥焊丝(70s-6 1.0黑轴) 普通1.0,HS-706-1001,01-13-03-010,public/products/01-jin-gu-jian/01-13-han-tiao-za-si-tie-si/01-13-03-dian-han-tiao/01-13-03-010/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,ลวดเชื่อม/ลวดผูก/ลวดเหล็ก,焊条/扎丝/铁丝,ลวดเชื่อมไฟฟ้า,ลวดเชื่อมฟลักซ์คอร์ 71T-1 1.2,金桥药芯焊丝黑轴71T-1 1.2,HS-711-1201,01-13-03-011,public/products/01-jin-gu-jian/01-13-han-tiao-za-si-tie-si/01-13-03-dian-han-tiao/01-13-03-011/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,ลวดเชื่อม/ลวดผูก/ลวดเหล็ก,焊条/扎丝/铁丝,ลวดเชื่อมไฟฟ้า,ลวดเชื่อม 1.2,金桥焊丝(1.2黑轴) 普通1.2,HS-12-001,01-13-03-012,public/products/01-jin-gu-jian/01-13-han-tiao-za-si-tie-si/01-13-03-dian-han-tiao/01-13-03-012/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,ลวดเชื่อม/ลวดผูก/ลวดเหล็ก,焊条/扎丝/铁丝,ลวดเชื่อมไฟฟ้า,ลวดเชื่อมสแตนเลส 102*3.2,金桥不锈钢焊条102*3.2,DTT-102-3201,01-13-03-015,public/products/01-jin-gu-jian/01-13-han-tiao-za-si-tie-si/01-13-03-dian-han-tiao/01-13-03-015/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,ลวดเชื่อม/ลวดผูก/ลวดเหล็ก,焊条/扎丝/铁丝,ลวดเชื่อมไฟฟ้า,ลวดเชื่อมสแตนเลส 302*3.2,金桥不锈钢焊条302*3.2,DTT-302-3201,01-13-03-016,public/products/01-jin-gu-jian/01-13-han-tiao-za-si-tie-si/01-13-03-dian-han-tiao/01-13-03-016/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,ลวดเชื่อม/ลวดผูก/ลวดเหล็ก,焊条/扎丝/铁丝,ลวดเชื่อมไฟฟ้า,ลวดเชื่อมสแตนเลส 102*2.5,金桥不锈钢焊条102*2.5,DTT-102-2501,01-13-03-017,public/products/01-jin-gu-jian/01-13-han-tiao-za-si-tie-si/01-13-03-dian-han-tiao/01-13-03-017/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,ลวดเชื่อม/ลวดผูก/ลวดเหล็ก,焊条/扎丝/铁丝,ลวดเชื่อมไฟฟ้า,ลวดเชื่อม เบอร์427 ขนาด 4.0 มม.,427电焊条4.0,DTT-427-4001,01-13-03-018,public/products/01-jin-gu-jian/01-13-han-tiao-za-si-tie-si/01-13-03-dian-han-tiao/01-13-03-018/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,ลวดเชื่อม/ลวดผูก/ลวดเหล็ก,焊条/扎丝/铁丝,ลวดเชื่อมไฟฟ้า,ลวดเชื่อม เบอร์506 ขนาด 3.2 มม.,506电焊条3.2,DTT-506-3201,01-13-03-019,public/products/01-jin-gu-jian/01-13-han-tiao-za-si-tie-si/01-13-03-dian-han-tiao/01-13-03-019/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,ลวดเชื่อม/ลวดผูก/ลวดเหล็ก,焊条/扎丝/铁丝,ลวดเชื่อมไฟฟ้า,ลวดเชื่อม เบอร์506 ขนาด 4.0 มม.,506电焊条4.0,DTT-506-4001,01-13-03-020,public/products/01-jin-gu-jian/01-13-han-tiao-za-si-tie-si/01-13-03-dian-han-tiao/01-13-03-020/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,ลวดเชื่อม/ลวดผูก/ลวดเหล็ก,焊条/扎丝/铁丝,ลวดเชื่อมไฟฟ้า,ลวดเชื่อมเหล็กหล่อ 308 3.2,308铸铁电焊条3.2（1包/1公斤）,DTT-308-3201,01-13-03-021,public/products/01-jin-gu-jian/01-13-han-tiao-za-si-tie-si/01-13-03-dian-han-tiao/01-13-03-021/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,ลวดเชื่อม/ลวดผูก/ลวดเหล็ก,焊条/扎丝/铁丝,ลวดเชื่อมไฟฟ้า,กระบอกเก็บลวดเชื่อม,焊条保温桶,BWT-HT-001,01-13-03-022,public/products/01-jin-gu-jian/01-13-han-tiao-za-si-tie-si/01-13-03-dian-han-tiao/01-13-03-022/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,ลวดเชื่อม/ลวดผูก/ลวดเหล็ก,焊条/扎丝/铁丝,ลวดเชื่อมไฟฟ้า,ลวดเชื่อมฟลักซ์คอร์ THY-51B 1.2,药芯焊丝THY-51B 1.2(15公斤）,HS-51B-1201,01-13-03-023,public/products/01-jin-gu-jian/01-13-han-tiao-za-si-tie-si/01-13-03-dian-han-tiao/01-13-03-023/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,ลวดเชื่อม/ลวดผูก/ลวดเหล็ก,焊条/扎丝/铁丝,ลวดเชื่อมไฟฟ้า,ลวดเชื่อม TIG 316L*2.0 5KG,金桥不锈钢氩弧焊丝316L*2.0（1条=5公斤）,HS-316-20501,01-13-03-024,public/products/01-jin-gu-jian/01-13-han-tiao-za-si-tie-si/01-13-03-dian-han-tiao/01-13-03-024/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,กาวฉนวน,กาวทาท่อ PVC,PVC胶水 PVC,JS-PVC-001,01-14-01-001,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-01-bao-wen-jiao-shui/01-14-01-001/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,กาวฉนวน,กาวทาฉนวนยาง,橡塑保温胶水,JS-XS-001,01-14-01-002,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-01-bao-wen-jiao-shui/01-14-01-002/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,กาวฉนวน,เทปพันฉนวน สีดำ 8cm,保温胶带--8公分黑膜（卷/30米）,JD-8K-3001,01-14-01-003,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-01-bao-wen-jiao-shui/01-14-01-003/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,กาวฉนวน,สีน้ำอะคริลิก,乳胶漆,YQ-RJ-001,01-14-01-005,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-01-bao-wen-jiao-shui/01-14-01-005/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,กาวฉนวน,สีน้ำมันสีเทา,灰色油漆,YQ-HUIS-0,01-14-01-007,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-01-bao-wen-jiao-shui/01-14-01-007/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,กาวฉนวน,สีน้ำมันสีแดง,大红油漆,YQ-DH-001,01-14-01-008,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-01-bao-wen-jiao-shui/01-14-01-008/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,กาวฉนวน,กาว 108,108胶水,JS-108-001,01-14-01-010,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-01-bao-wen-jiao-shui/01-14-01-010/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,กาวฉนวน,ทินเนอร์,天拿水,JS-TN-001,01-14-01-011,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-01-bao-wen-jiao-shui/01-14-01-011/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,กาวฉนวน,สีน้ำมันสีขาว,白色油漆,YQ-BS-001,01-14-01-012,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-01-bao-wen-jiao-shui/01-14-01-012/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,กาวฉนวน,สีน้ำมันสีดำ,黑色油漆,YQ-HES-0,01-14-01-013,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-01-bao-wen-jiao-shui/01-14-01-013/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,กาวฉนวน,กาวทาฉนวน 820 แดง,橡塑胶水820-红色,JS-820-001,01-14-01-014,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-01-bao-wen-jiao-shui/01-14-01-014/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,กาวฉนวน,สีน้ำมันสีเหลือง,黄色油漆,YQ-HUAS-0,01-14-01-015,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-01-bao-wen-jiao-shui/01-14-01-015/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,อุปกรณ์ต้านเชื้อ / ระบายอากาศ,แคลมป์เล็ก,小勾码 ( ),GM-X-001,01-14-02-001,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-02-kang-jun-tong-feng-pei-jian/01-14-02-001/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,อุปกรณ์ต้านเชื้อ / ระบายอากาศ,ฉากท่อลม 1.0,风管角码1.0 ( 1.0),JM-10-001,01-14-02-004,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-02-kang-jun-tong-feng-pei-jian/01-14-02-004/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,อุปกรณ์ต้านเชื้อ / ระบายอากาศ,แผ่นยึดท่อ 1.0,卡条1.0厚 ( 1.0),KT-10-001,01-14-02-006,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-02-kang-jun-tong-feng-pei-jian/01-14-02-006/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,อุปกรณ์ต้านเชื้อ / ระบายอากาศ,แผ่นยึดท่อ 1.2,卡条1.2厚 ( 1.2),KT-12-001,01-14-02-007,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-02-kang-jun-tong-feng-pei-jian/01-14-02-007/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,อุปกรณ์ต้านเชื้อ / ระบายอากาศ,แหวนรองเสริม,加固垫片(),DP-JG-001,01-14-02-008,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-02-kang-jun-tong-feng-pei-jian/01-14-02-008/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,อุปกรณ์ต้านเชื้อ / ระบายอากาศ,ฐานเชื่อม 41*41,暂停使用 焊接底座41*41（ 41*41）,DZ-HJ-41-41,01-14-02-009,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-02-kang-jun-tong-feng-pei-jian/01-14-02-009/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,อุปกรณ์ต้านเชื้อ / ระบายอากาศ,แหวนรอง 41*41 (5mm),41*41型钢扣垫（5毫米）( 41 * 41 (5 .),KD-PT-41,01-14-02-010,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-02-kang-jun-tong-feng-pei-jian/01-14-02-010/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,อุปกรณ์ต้านเชื้อ / ระบายอากาศ,แผ่นยึดคาน 41*100,梁夹压板/带齿压板41*100,YB-DC-41-100-01,01-14-02-011,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-02-kang-jun-tong-feng-pei-jian/01-14-02-011/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,อุปกรณ์ต้านเชื้อ / ระบายอากาศ,แผ่นยึดคาน 41*130,梁夹压板/带齿压板41*130,YB-DC-41-130,01-14-02-012,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-02-kang-jun-tong-feng-pei-jian/01-14-02-012/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,อุปกรณ์ต้านเชื้อ / ระบายอากาศ,แหวนรอง 41*41*2,华司垫片41*41*2 (),DP-HS-41-41-2,01-14-02-013,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-02-kang-jun-tong-feng-pei-jian/01-14-02-013/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,อุปกรณ์ต้านเชื้อ / ระบายอากาศ,ประแจขันแผ่นยึด,卡条扳手,BS-KT-001,01-14-02-014,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-02-kang-jun-tong-feng-pei-jian/01-14-02-014/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,อุปกรณ์ต้านเชื้อ / ระบายอากาศ,ฉาก 2 รู,2孔角码（）,JM-2K-001,01-14-02-015,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-02-kang-jun-tong-feng-pei-jian/01-14-02-015/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,อุปกรณ์ต้านเชื้อ / ระบายอากาศ,น็อต T 10*25,T型螺丝10*25（ T 10 * 25）,LS-T-10-25,01-14-02-016,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-02-kang-jun-tong-feng-pei-jian/01-14-02-016/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,อุปกรณ์ต้านเชื้อ / ระบายอากาศ,ตัวปรับระดับ 3mm,方型调节器（3个厚） ( 3 ),TJQ-FX-301,01-14-02-017,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-02-kang-jun-tong-feng-pei-jian/01-14-02-017/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,อุปกรณ์ต้านเชื้อ / ระบายอากาศ,ฐานยึดไม่ต้องเชื่อม 41*80,免焊接底座41*80（ 41*80）,DZ-MHJ-41-80,01-14-02-018,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-02-kang-jun-tong-feng-pei-jian/01-14-02-018/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,อุปกรณ์ต้านเชื้อ / ระบายอากาศ,ฉาก 3 รู,3孔角码,JM-3K-001,01-14-02-020,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-02-kang-jun-tong-feng-pei-jian/01-14-02-020/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,อุปกรณ์ต้านเชื้อ / ระบายอากาศ,แผ่นยึดคาน 52*110,梁夹压板/带齿压板52*110,YB-DC-52-110,01-14-02-021,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-02-kang-jun-tong-feng-pei-jian/01-14-02-021/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,อุปกรณ์ต้านเชื้อ / ระบายอากาศ,ยูโบลท์ 10*130,U型丝/方型卡10*130,FXK-PT-10-130,01-14-02-022,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-02-kang-jun-tong-feng-pei-jian/01-14-02-022/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,อุปกรณ์ต้านเชื้อ / ระบายอากาศ,ฐานเชื่อม 41*80,焊接底座41*80（ 41*80）,DZ-HJ-41-80,01-14-02-023,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-02-kang-jun-tong-feng-pei-jian/01-14-02-023/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,อุปกรณ์ต้านเชื้อ / ระบายอากาศ,ฐานเชื่อม 41*100,焊接底座41*100,DZ-HJ-41-100,01-14-02-024,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-02-kang-jun-tong-feng-pei-jian/01-14-02-024/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,อุปกรณ์ต้านเชื้อ / ระบายอากาศ,แผ่นยึดคาน 41*100 (ไม่รวมยูโบลท์),梁夹压板/带齿压板41*100（不含U型丝及螺母）,YB-DC-41-100-02,01-14-02-025,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-02-kang-jun-tong-feng-pei-jian/01-14-02-025/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,เทปซีล,ยางกันรั่ว 2.4ม.,密封胶条（480卷/件）--2.4米/卷,JT-MF-2401,01-14-03-002,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-03-mi-feng-jiao-bu/01-14-03-002/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,เทปซีล,ยางกันรั่ว EVA 3cm,密封胶条/EVA胶条3公分(33卷/件）,JT-EVA-301,01-14-03-003,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-03-mi-feng-jiao-bu/01-14-03-003/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,เทปซีล,ยางกันรั่ว 3cm,暂停使用 密封胶条3公分 (90卷/件）,JT-MF-301,01-14-03-005,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-03-mi-feng-jiao-bu/01-14-03-005/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,ตัวลดแรงสั่นสะเทือน,ตัวกันสั่น 120-160KG,减震器120-160公斤,JZQ-1216-001,01-14-04-001,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-04-jian-zhen-qi/01-14-04-001/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,ตัวลดแรงสั่นสะเทือน,แผ่นกันสั่น 170*170*18,减震垫170*170*18,JZD-PT-170-170-18,01-14-04-004,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-04-jian-zhen-qi/01-14-04-004/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,แผ่นฉนวนกันความร้อน,ฉนวนยางกันความร้อนชนิดแผ่น 1500*8000*30,橡塑保温板（保温棉）1500*8000*30mm,BWB-1500-8000-30,01-14-05-0001,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-05-bao-wen-ban/01-14-05-0001/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,แผ่นฉนวนกันความร้อน,ฉนวนยางกันความร้อนชนิดแผ่น 1500*8000*25,橡塑保温板（保温棉）1500*8000*25mm,BWB-1500-8000-25,01-14-05-0002,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-05-bao-wen-ban/01-14-05-0002/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,แผ่นฉนวนกันความร้อน,ฉนวนยางกันความร้อนชนิดแผ่น 1500*8000*20,橡塑保温板（保温棉）1500*8000*20mm,BWB-1500-8000-20,01-14-05-0003,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-05-bao-wen-ban/01-14-05-0003/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,แผ่นฉนวนกันความร้อน,ฉนวนยางกันความร้อนชนิดท่อ 60*20*2000,橡塑保温管60*20*2000,BWG-60-20-2000,01-14-05-0004,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-05-bao-wen-ban/01-14-05-0004/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,แผ่นฉนวนกันความร้อน,ฉนวนยางกันความร้อนชนิดท่อ 108*20*2000,橡塑保温管108*20*2000,BWG-108-20-2000,01-14-05-0005,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-05-bao-wen-ban/01-14-05-0005/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,แผ่นฉนวนกันความร้อน,ฉนวนยางกันความร้อนชนิดท่อ 43*20*2000,橡塑保温管43*20*2000,BWG-43-20-2000,01-14-05-0006,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-05-bao-wen-ban/01-14-05-0006/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,แผ่นฉนวนกันความร้อน,ฉนวนยางกันความร้อนชนิดท่อ 48*20*2000,橡塑保温管48*20*2000,BWG-48-20-2000,01-14-05-0007,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-05-bao-wen-ban/01-14-05-0007/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,แผ่นฉนวนกันความร้อน,ฉนวนยางกันความร้อนชนิดท่อ 76*20*2000,橡塑保温管76*20*2000,BWG-76-20-2000,01-14-05-0008,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-05-bao-wen-ban/01-14-05-0008/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,แผ่นฉนวนกันความร้อน,ฉนวนยางกันความร้อนชนิดท่อ 89*20*2000,橡塑保温管89*20*2000,BWG-89-20-2000,01-14-05-0009,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-05-bao-wen-ban/01-14-05-0009/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,แผ่นฉนวนกันความร้อน,ฉนวนยางกันความร้อนชนิดท่อ 20*20*2000,橡塑保温管20*20*2000,BWG-PT-20-20-2000,01-14-05-0010,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-05-bao-wen-ban/01-14-05-0010/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,แผ่นฉนวนกันความร้อน,ฉนวนยางกันความร้อนชนิดท่อ 25*20*2000,橡塑保温管25*20*2000,BWG-25-20-2000,01-14-05-0011,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-05-bao-wen-ban/01-14-05-0011/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,โซนอุปกรณ์เสริมงานระบายอากาศ,通风配件专区,แผ่นฉนวนกันความร้อน,ฉนวนยางกันความร้อนชนิดท่อ 34*20*2000,橡塑保温板34*20*2000,BWB-34-20-2000,01-14-05-0012,public/products/01-jin-gu-jian/01-14-tong-feng-pei-jian-zhuan-qu/01-14-05-bao-wen-ban/01-14-05-0012/
อุปกรณ์ไฟฟ้าแรงดันต่ำ,低压电器,เบรกเกอร์เข้าคู่ออกคู่ 1P+N,1P+N双进双出断路器,เบรกเกอร์เดลิกซี 1P (เข้าคู่ออกคู่),เบรกเกอร์จิ๋ว DELIXI DZ47PLE 1P+N 32A (บรรจุ 6 ตัว/กล่อง),德力西微断DZ47PLE 1P+N 32A（6个/盒）,WD-DZ47PLE-1PN32A,03-02-0001,public/products/03-di-ya-dian-qi/03-02-1P+N-shuang-jin-shuang-chu-duan-lu-qi/03-02-02-1P-de-li-xi-kong-kai-shuang-jin-shuang-chu/03-02-0001/
อุปกรณ์ไฟฟ้าแรงดันต่ำ,低压电器,เบรกเกอร์กันดูด 3P,3P带漏电保护,เบรกเกอร์กันดูดเดลิกซี 3P,เบรกเกอร์จิ๋ว DELIXI DZ47sLE 3P C 63A (บรรจุ 2 ตัว/กล่อง),德力西微断DZ47sLE 3P C 63A（2个/盒）,WD-DZ47SLE-3PC63A,03-08-02-007,public/products/03-di-ya-dian-qi/03-08-3P-dai-lou-dian-bao-hu/03-08-02-3P-de-li-xi-lou-dian/03-08-02-007/
อุปกรณ์ไฟฟ้าแรงดันต่ำ,低压电器,มิเตอร์และปลั๊ก,仪表插座,มิเตอร์ไฟเฟสเดียว,มิเตอร์ไฟฟ้าเฟสเดียวระบบบลูทูธแบบเติมเงิน 15-60A,单相蓝牙预付费电表 15-60A,DB-LY-1560A,03-10-04-001,public/products/03-di-ya-dian-qi/03-10-yi-biao-cha-zuo/03-10-04-dan-xiang-dian-biao/03-10-04-001/
